mode,selector_type,selector,mean_return,median_return,min_return,std_return,positive_folds,mean_trades,total_trades,mean_precision,mean_recall,mean_auc,auc_pass_rate,mean_drawdown,worst_drawdown,mean_sharpe,robust_score
threshold_regime_confidence_filtered_auc_gated,threshold,0.8000000000000003,-0.9364588405067441,0.0,-10.60074317651995,4.170161437320366,0.1111111111111111,0.4444444444444444,4.0,0.1111111111111111,0.0013751375137513752,0.5200495243287728,0.5555555555555556,-2.090307935669872,-11.48628270351012,,-4.406962771744601
threshold_regime_filtered,threshold,0.5,-6.12998979045111,-5.05604122874098,-22.26917088271855,9.828561643592568,0.3333333333333333,15.222222222222221,137.0,0.3751804919564393,0.1575491897083079,0.5200495243287728,0.5555555555555556,-13.383615720672825,-25.450673509933697,,-16.01577686973271
threshold_regime_filtered,threshold,0.55,-8.544615881950413,-9.337761184139538,-19.907489495418123,8.75299886575572,0.2222222222222222,11.0,99.0,0.34477493767212913,0.11902829667595638,0.5200495243287728,0.5555555555555556,-12.870544287580264,-23.433213741728785,,-19.934174119869198
threshold_regime_filtered,threshold,0.6000000000000001,-5.053472824379982,-3.8562560779788897,-12.529252280279376,5.275086478833186,0.2222222222222222,8.777777777777779,79.0,0.3186159135906014,0.09357671728429183,0.5200495243287728,0.5555555555555556,-9.402349652494886,-17.83496882707345,,-10.988241108703123
threshold_regime_filtered,threshold,0.6500000000000001,-2.880061333557766,-0.5428621532595344,-9.985119661979775,4.922534986439672,0.3333333333333333,6.777777777777778,61.0,0.3891281833446281,0.07154899486201888,0.5200495243287728,0.5555555555555556,-7.309671887069955,-15.445112319199684,,-6.211739405625727
threshold_regime_filtered,threshold,0.7000000000000002,-2.156254697226719,0.0,-12.132839575900016,5.351479995829599,0.3333333333333333,5.0,45.0,0.343364493078693,0.05280909420542876,0.5200495243287728,0.5555555555555556,-5.803210284060859,-13.027465237392411,,-5.860667923492456
threshold_regime_filtered,threshold,0.7500000000000002,-1.041512969891083,0.0,-11.228676065419982,6.83744446972416,0.2222222222222222,4.111111111111111,37.0,0.3188608351265395,0.04037014626853138,0.5200495243287728,0.5555555555555556,-5.338034095977807,-13.88028801051201,,-5.113598659232673
threshold_regime_filtered,threshold,0.8000000000000003,-2.5003842639552505,0.0,-10.60074317651995,5.0625227702015625,0.1111111111111111,3.111111111111111,28.0,0.17878070231207746,0.028407832910017066,0.5200495243287728,0.5555555555555556,-5.202601976750518,-17.841022444236575,,-6.193978528413406
threshold_regime_filtered_auc_gated,threshold,0.5,-2.199294099119874,0.0,-16.045729546520114,7.771828629818648,0.3333333333333333,7.777777777777778,70.0,0.21125420864313077,0.09298169510518843,0.5200495243287728,0.5555555555555556,-6.031890003802981,-19.867039352945127,,-7.487016976537897
threshold_regime_filtered_auc_gated,threshold,0.55,-3.4819450113907866,0.0,-17.426133759858214,7.9434606305880235,0.2222222222222222,6.222222222222222,56.0,0.21413962904247108,0.06879009333350218,0.5200495243287728,0.5555555555555556,-6.391947151338591,-20.548149608746826,,-9.379899164557902
threshold_regime_filtered_auc_gated,threshold,0.6000000000000001,-2.101263957526817,0.0,-9.923824370380977,4.183372636786862,0.2222222222222222,5.0,45.0,0.218531686642542,0.04829854747206332,0.5200495243287728,0.5555555555555556,-4.852445726356559,-16.390816860944657,,-5.183618764874332
threshold_regime_filtered_auc_gated,threshold,0.6500000000000001,-0.6132700405001287,0.0,-9.92727184372004,3.6124855399191977,0.3333333333333333,3.6666666666666665,33.0,0.2845718851607146,0.02840280353224676,0.5200495243287728,0.5555555555555556,-3.7335882555177995,-11.566470599101564,,-3.3315427197432714
