mode,selector_type,selector,n_folds,mean_return_pct,median_return_pct,min_return_pct,std_return_pct,positive_folds,total_trades,mean_trades,mean_precision,mean_recall,mean_auc,mean_drawdown,worst_drawdown,mean_sharpe_bt,sharpe_fold,psr_gt_0,dsr,auc_pass_rate,robust_score_psr_dsr
topk_regime_confidence_filtered_auc_gated,top_k_fraction,0.03,9.0,-0.3426765748178531,0.0,-11.804221924240096,6.089085598089501,0.3333333333333333,16.0,1.7777777777777777,0.299510455431508,0.006806856880939839,0.5200495243287728,-3.0781591041604557,-11.95460895463032,,-0.05627718140887536,0.43632618663839057,1.0147180045188047e-12,0.5555555555555556,-3.2766844154537598
topk_regime_confidence_filtered_auc_gated,top_k_fraction,0.05,9.0,-0.4772718719933943,0.0,-12.132824538780005,6.6582041319939,0.2222222222222222,24.0,2.6666666666666665,0.2766715326437548,0.010700190401276037,0.5200495243287728,-3.877597066553065,-12.452779202759467,,-0.0716817722214335,0.4206741339202158,1.991422786059997e-12,0.5555555555555556,-3.8892363273960204
topk_regime_confidence_filtered_auc_gated,top_k_fraction,0.075,9.0,-0.6560426199490141,0.0,-12.204779873039923,5.032692337344604,0.3333333333333333,26.0,2.888888888888889,0.2571188890294581,0.014856689507577221,0.5200495243287728,-3.8297617185182466,-12.284174574369477,,-0.13035619425429879,0.34048977703330996,5.255839597877462e-16,0.5555555555555556,-3.6177644518118575
topk_regime_confidence_filtered_auc_gated,top_k_fraction,0.1,9.0,1.117622087239666,0.0,-5.273725089700861,3.540843160063406,0.4444444444444444,37.0,4.111111111111111,0.26644412152608876,0.020613672357788007,0.5200495243287728,-3.5334753923869098,-11.565809465483156,,0.3156372752809681,0.8074843317855392,3.927584957286994e-09,0.5555555555555556,1.4178375890413215
topk_regime_confidence_filtered_auc_gated,top_k_fraction,0.15,9.0,0.9584538592354106,0.0,-7.9072190841602605,4.108552472276759,0.4444444444444444,43.0,4.777777777777778,0.24373113536198865,0.028107897149173958,0.5200495243287728,-3.5425656679213704,-11.56597553832064,,0.23328261369491102,0.7183616256555759,3.333358107318584e-08,0.5555555555555556,0.28012321032693976
topk_regime_filtered,top_k_fraction,0.03,9.0,-0.8380420066890806,-1.3315988374804761,-12.427151606059466,8.331788994432506,0.4444444444444444,51.0,5.666666666666667,0.4302640749162288,0.024001722602573092,0.5200495243287728,-7.385212999405949,-14.80246527534569,,-0.10058368103765947,0.3875483556755993,4.687621512519235e-13,0.5555555555555556,-5.029590975310818
topk_regime_filtered,top_k_fraction,0.05,9.0,-0.17515580097381228,3.010548360937446,-11.116111370179716,6.426684966654369,0.6666666666666666,74.0,8.222222222222221,0.4064548330853417,0.037608850813838725,0.5200495243287728,-7.77639023600619,-13.526985511123325,,-0.027254455739254245,0.46891446021157085,1.4438500747338088e-12,0.5555555555555556,-0.784418450952804
topk_regime_filtered,top_k_fraction,0.075,9.0,-2.3300516143400682,-0.1291074886417391,-17.99958924937911,8.785731320630253,0.4444444444444444,93.0,10.333333333333334,0.40032605556073314,0.05486449718795892,0.5200495243287728,-9.611464783282033,-18.362688414731178,,-0.2652086126135848,0.2107431053058033,2.3898350304109626e-16,0.5555555555555556,-7.780560401662782
topk_regime_filtered,top_k_fraction,0.1,9.0,-3.122760339117819,-2.0340197013997,-17.426133759858214,8.466669466045696,0.3333333333333333,105.0,11.666666666666666,0.3986034638910081,0.07261250285801164,0.5200495243287728,-10.33944844682772,-17.976184862457767,,-0.3688298393649569,0.1422348393007643,3.4536048528425495e-16,0.5555555555555556,-9.66183465102545
topk_regime_filtered,top_k_fraction,0.15,9.0,-3.5327498832155957,-3.8544382464796967,-17.605611807598688,9.787576965108977,0.3333333333333333,128.0,14.222222222222221,0.3837416142361805,0.10506350165523407,0.5200495243287728,-12.711815858921163,-20.047052600653103,,-0.3609422327721394,0.17286657896738794,2.1484618881873045e-13,0.5555555555555556,-11.295866375030274
topk_regime_filtered_auc_gated,top_k_fraction,0.03,9.0,0.002433611826533245,0.0,-12.204779873039923,5.9975637776068,0.3333333333333333,26.0,2.888888888888889,0.2689419120773825,0.015697388720475942,0.5200495243287728,-3.8297617185182466,-12.284174574369477,,0.0004057667274201937,0.5004577999923654,4.477987441787075e-12,0.5555555555555556,-2.8805700341703155
topk_regime_filtered_auc_gated,top_k_fraction,0.05,9.0,0.7635042696953581,0.0,-7.9072190841602605,3.8601566796426976,0.4444444444444444,40.0,4.444444444444445,0.2519328485421339,0.02432793048221728,0.5200495243287728,-3.782684106763675,-11.56597553832064,,0.19779100514801623,0.6869433695198385,2.4344749014304424e-08,0.5555555555555556,0.08443602970743153
topk_regime_filtered_auc_gated,top_k_fraction,0.075,9.0,0.2897151873642806,0.0,-17.99958924937911,7.529106046721924,0.4444444444444444,51.0,5.666666666666667,0.22979594149861246,0.0332095844846933,0.5200495243287728,-4.346672443484599,-18.362688414731178,,0.0384793607058329,0.5417280460954268,5.0391656468796346e-11,0.5555555555555556,-4.12011365543006
topk_regime_filtered_auc_gated,top_k_fraction,0.1,9.0,-0.1112488292069204,0.0,-17.426133759858214,7.316519285164928,0.3333333333333333,58.0,6.444444444444445,0.2214936634935365,0.04254445245842489,0.5200495243287728,-4.940532034820055,-17.976184862457767,,-0.015205157653652364,0.4826151516229515,1.6927711107037053e-12,0.5555555555555556,-4.665015120545058
topk_regime_filtered_auc_gated,top_k_fraction,0.15,9.0,0.3287727979240355,0.0,-17.605611807598688,8.136035262418305,0.3333333333333333,75.0,8.333333333333334,0.2142829653715354,0.06161184243737088,0.5200495243287728,-6.086660839160881,-19.150560949009908,,0.0404094607901581,0.544573030466414,2.4643697455616355e-11,0.5555555555555556,-4.350826241906788
topk_unfiltered,top_k_fraction,0.03,9.0,0.04815442070399881,-1.898547896079401,-12.821930192259867,8.170499186976057,0.4444444444444444,103.0,11.444444444444445,0.4014814814814815,0.036631376329267606,0.5200495243287728,-11.100675814986985,-21.035465925792497,,0.0058936938370617205,0.5066456431472948,5.1148608431611174e-12,0.5555555555555556,-4.247046696945859
topk_unfiltered,top_k_fraction,0.05,9.0,-4.837499330233538,-8.030780496798616,-20.575244750279104,10.603492843856907,0.2222222222222222,140.0,15.555555555555555,0.3813333333333333,0.05767597646383618,0.5200495243287728,-13.4298518084182,-27.74041876567389,,-0.456217531474652,0.1383668395832221,3.957073035543618e-12,0.5555555555555556,-15.926395853544092
topk_unfiltered,top_k_fraction,0.075,9.0,-7.42600860746418,-9.316800282839983,-20.356447216239122,9.75164061782125,0.2222222222222222,176.0,19.555555555555557,0.37254901960784315,0.08412612177093039,0.5200495243287728,-16.019018926560307,-30.672522266097737,,-0.7615137696823092,0.056170290895140244,1.815263636840606e-11,0.5555555555555556,-19.05464568111008
topk_unfiltered,top_k_fraction,0.1,9.0,-5.893808075982372,-9.928550575619886,-18.582540516198833,10.210033853103422,0.2222222222222222,198.0,22.0,0.36800000000000005,0.11085998568510741,0.5200495243287728,-16.23389690549753,-28.00143839440804,,-0.5772564675866284,0.13288739235935804,4.1010958500340804e-09,0.5555555555555556,-17.34600771465143
topk_unfiltered,top_k_fraction,0.15,9.0,-10.584088686753269,-10.39631092984015,-25.131359907138766,7.656107050752071,0.1111111111111111,239.0,26.555555555555557,0.3635555555555555,0.16450351859930332,0.5200495243287728,-18.913465894626512,-34.55389255619351,,-1.3824373949569553,0.0011224725105751171,2.451585545558633e-17,0.5555555555555556,-23.754643723902678
topk_unfiltered_auc_gated,top_k_fraction,0.03,9.0,0.7421953592041532,0.0,-5.694605781139262,4.9295099655096335,0.2222222222222222,51.0,5.666666666666667,0.22370370370370368,0.02086873952964092,0.5200495243287728,-5.08465367852538,-15.367546104930764,,0.15056169160770164,0.6756456424351074,3.828255539232689e-12,0.5555555555555556,-0.11809784813192663
topk_unfiltered_auc_gated,top_k_fraction,0.05,9.0,-1.1729988780267695,0.0,-12.043202046480019,7.365986499234045,0.1111111111111111,73.0,8.11111111111111,0.2088888888888889,0.032251621069221054,0.5200495243287728,-6.200682778941009,-17.82873480872117,,-0.15924532011411427,0.33952013769076606,1.1705430276159664e-11,0.5555555555555556,-5.124033516816414
topk_unfiltered_auc_gated,top_k_fraction,0.075,9.0,-2.0466937774489073,0.0,-16.500717362699334,8.166642159591392,0.2222222222222222,93.0,10.333333333333334,0.19786096256684493,0.04572205998424281,0.5200495243287728,-7.451608710320792,-19.712838888846697,,-0.2506163166516545,0.225788305957771,6.211580653482743e-16,0.5555555555555556,-7.317512601661601
topk_unfiltered_auc_gated,top_k_fraction,0.1,9.0,-0.2807202362893638,0.0,-11.693704812437351,7.576270462818836,0.2222222222222222,106.0,11.777777777777779,0.19955555555555557,0.06141652917459571,0.5200495243287728,-7.444944522346806,-21.177430804884146,,-0.037052562691237224,0.45910856737396993,5.647212181811698e-12,0.5555555555555556,-3.7355524758940843
topk_unfiltered_auc_gated,top_k_fraction,0.15,9.0,-3.42522852240708,0.0,-13.750200749480587,5.115928890792763,0.1111111111111111,130.0,14.444444444444445,0.20207407407407407,0.09332124757082609,0.5200495243287728,-8.529891729626959,-21.381337555452472,,-0.6695223087583431,0.0022925139851321264,3.144094200194963e-39,0.5555555555555556,-7.914953682282931
